a lot	[ə lɒt]	много
anti-virus	[ˌænti ˈvaɪrəs]	антивирус
alright	[ɔːlˈraɪt]	нормально / ладно
fed up	[fed ʌp]	сыт по горло
impressed	[ɪmˈprest]	впечатлён
thrilled	[θrɪld]	в восторге
overwhelmed	[ˌəʊvəˈwelmd]	перегружен / ошеломлён
relieved	[rɪˈliːvd]	испытавший облегчение
appalled	[əˈpɔːld]	в ужасе
astonished	[əˈstɒnɪʃt]	изумлён
staggered	[ˈstæɡəd]	ошеломлён
taken aback	[ˈteɪkən əˈbæk]	застигнут врасплох
disappointed	[ˌdɪsəˈpɔɪntɪd]	разочарован
soaked	[səʊkt]	промокший насквозь
flooded	[ˈflʌdɪd]	затопленный
unlocked	[ʌnˈlɒkt]	разблокирован
critical	[ˈkrɪtɪkəl]	критический
unproven	[ʌnˈpruːvən]	недоказанный
debated	[dɪˈbeɪtɪd]	спорный
bound to	[baʊnd tuː]	обязательно (сделает)
beautifully	[ˈbjuːtəfli]	красиво
expensively	[ɪkˈspensɪvli]	дорого
urgently	[ˈɜːdʒəntli]	срочно
stupidly	[ˈstjuːpɪdli]	глупо
impolitely	[ˌɪmpəˈlaɪtli]	невежливо
immorally	[ɪˈmɒrəli]	аморально
unjustly	[ʌnˈdʒʌstli]	несправедливо
unprecedentedly	[ʌnˈpresɪdentɪdli]	беспрецедентно
unsurprisingly	[ˌʌnsəˈpraɪzɪŋli]	неудивительно
uncontrollably	[ˌʌnkənˈtrəʊləbli]	неконтролируемо
wisely	[ˈwaɪzli]	мудро
wonderfully	[ˈwʌndəfəli]	замечательно
patiently	[ˈpeɪʃəntli]	терпеливо
impatiently	[ɪmˈpeɪʃəntli]	нетерпеливо
indecisively	[ˌɪndɪˈsaɪsɪvli]	нерешительно
offensively	[əˈfensɪvli]	оскорбительно
blissfully	[ˈblɪsfəli]	блаженно
modestly	[ˈmɒdɪstli]	скромно
capriciously	[kəˈprɪʃəsli]	капризно
creatively	[kriˈeɪtɪvli]	креативно
fruitfully	[ˈfruːtfəli]	плодотворно
inexpensively	[ˌɪnɪkˈspensɪvli]	недорого
realistically	[ˌrɪəˈlɪstɪkli]	реалистично
healthily	[ˈhelθɪli]	полезно для здоровья
steadily	[ˈstedɪli]	устойчиво
astonishingly	[əˈstɒnɪʃɪŋli]	удивительно
irritably	[ˈɪrɪtəbli]	раздражённо
attentively	[əˈtentɪvli]	внимательно
clearly	[ˈklɪəli]	ясно
unclearly	[ʌnˈklɪəli]	неясно
wonderfully	[ˈwʌndəfəli]	чудесно
paradoxically	[ˌpærəˈdɒksɪkli]	парадоксально
realise	[ˈrɪəlaɪz]	осознавать
specialise	[ˈspeʃəlaɪz]	специализироваться
participate	[pɑːˈtɪsɪpeɪt]	участвовать
summarise	[ˈsʌməraɪz]	резюмировать
revolutionise	[ˌrevəˈluːʃənaɪz]	революционизировать
unsubscribe	[ˌʌnsəbˈskraɪb]	отписаться
uninstall	[ˌʌnɪnˈstɔːl]	удалить (программу)
wake up	[weɪk ʌp]	просыпаться
look for	[lʊk fɔː]	искать
look after	[lʊk ˈɑːftə]	заботиться
look forward to	[lʊk ˈfɔːwəd tuː]	ждать с нетерпением
look down on	[lʊk daʊn ɒn]	смотреть свысока
look into	[lʊk ˈɪntə]	изучать / разбираться
get rid of	[ɡet rɪd əv]	избавиться от
get along with	[ɡet əˈlɒŋ wɪð]	ладить с
get on with	[ɡet ɒn wɪð]	ладить / продолжать
get down to	[ɡet daʊn tuː]	приступить к
get into	[ɡet ˈɪntə]	влезть / увлечься
catch up with	[kætʃ ʌp wɪð]	догнать / наверстать
keep up with	[kiːp ʌp wɪð]	не отставать от
run out of	[rʌn aʊt əv]	исчерпать запас
run into	[rʌn ˈɪntə]	наткнуться на
come from	[kʌm frɒm]	происходить из
come up with	[kʌm ʌp wɪð]	придумать
come across as	[kʌm əˈkrɒs æz]	производить впечатление
lag behind	[læɡ bɪˈhaɪnd]	отставать
put up with	[pʊt ʌp wɪð]	мириться с
go in for	[ɡəʊ ɪn fɔː]	увлекаться
go ahead	[ɡəʊ əˈhed]	действовать / продолжать
go after	[ɡəʊ ˈɑːftə]	преследовать
go back on	[ɡəʊ bæk ɒn]	нарушить (обещание)
cheer up	[tʃɪər ʌp]	взбодриться / развеселить
calm down	[kɑːm daʊn]	успокоиться
deal with	[diːl wɪð]	иметь дело с
move forward	[muːv ˈfɔːwəd]	двигаться вперёд
break into	[breɪk ˈɪntə]	ворваться
cut down on	[kʌt daʊn ɒn]	сократить (потребление)
put down to	[pʊt daʊn tuː]	приписать (причине)
end up	[end ʌp]	оказаться в итоге
end in	[end ɪn]	закончиться (чем-то)
stand up for	[stænd ʌp fɔː]	заступаться
call for	[kɔːl fɔː]	требовать / призывать
brighten up	[ˈbraɪtən ʌp]	проясниться / оживиться
go against	[ɡəʊ əˈɡenst]	идти против
come up against	[kʌm ʌp əˈɡenst]	столкнуться с
do about	[duː əˈbaʊt]	предпринять (по поводу)
watch out	[wɒtʃ aʊt]	остерегаться
flick through	[flɪk θruː]	пролистать
mull over	[mʌl ˈəʊvə]	обдумывать
bank on	[bæŋk ɒn]	рассчитывать на
cling to	[klɪŋ tuː]	цепляться за
take to	[teɪk tuː]	привязаться / начать любить
dawn on	[dɔːn ɒn]	осенить (о мысли)
account for	[əˈkaʊnt fɔː]	объяснять / составлять
brush up on	[brʌʃ ʌp ɒn]	освежить (знания)
spark off	[spɑːk ɒf]	спровоцировать
boil down to	[bɔɪl daʊn tuː]	сводиться к
come down to	[kʌm daʊn tuː]	сводиться к
slog away	[slɒɡ əˈweɪ]	вкалывать
gobble up	[ˈɡɒbəl ʌp]	пожирать
occur to	[əˈkɜː tuː]	приходить в голову
carry away	[ˈkæri əˈweɪ]	увлекать
pour down	[pɔː daʊn]	лить (о дожде)
plug into	[plʌɡ ˈɪntə]	подключать к
bump into	[bʌmp ˈɪntə]	случайно встретить
run across	[rʌn əˈkrɒs]	наткнуться
dwell on	[dwel ɒn]	зацикливаться на
nod off	[nɒd ɒf]	задремать
fall apart	[fɔːl əˈpɑːt]	разваливаться
hack into	[hæk ˈɪntə]	взломать
stick to	[stɪk tuː]	придерживаться
polish up	[ˈpɒlɪʃ ʌp]	отшлифовать
deprive of	[dɪˈpraɪv əv]	лишить
note down	[nəʊt daʊn]	записать
copy down	[kɔːpi daʊn]	переписать
grow out of	[ɡrəʊ aʊt əv]	перерасти
read up on	[riːd ʌp ɒn]	начитаться / изучить
pop into	[pɒp ˈɪntə]	заскочить
fall for	[fɔːl fɔː]	влюбиться / попасться
add up to	[æd ʌp tuː]	составлять (сумму)
break in	[breɪk ɪn]	вломиться / врываться
look out for	[lʊk aʊt fɔː]	высматривать
burst into	[bɜːst ˈɪntə]	ворваться / разразиться
turn into	[tɜːn ˈɪntə]	превратиться в
do without	[duː wɪˈðaʊt]	обходиться без
jot down	[dʒɒt daʊn]	набросать (запись)
see to	[siː tuː]	позаботиться о
go ahead with	[ɡəʊ əˈhed wɪð]	приступить к
leap at	[liːp æt]	ухватиться за (шанс)
leave aside	[liːv əˈsaɪd]	оставить в стороне
meet up	[miːt ʌp]	встретиться
drop by	[drɒp baɪ]	зайти на минутку
head for	[hed fɔː]	направляться к
think ahead	[θɪŋk əˈhed]	думать наперёд
move on to	[muːv ɒn tuː]	перейти к
scribble down	[ˈskrɪbəl daʊn]	нацарапать
be up to	[biː ʌp tuː]	затевать / быть годным
plan ahead	[plæn əˈhed]	планировать заранее
dwell upon	[dwel əˈpɒn]	задерживаться на
go with	[ɡəʊ wɪð]	сочетаться / выбрать
laze around	[leɪz əˈraʊnd]	лениться
laze about	[leɪz əˈbaʊt]	лениться
move up to	[muːv ʌp tuː]	перейти на (уровень)
zoom in	[zuːm ɪn]	приблизить
zoom out	[zuːm aʊt]	отдалить
hear from	[hɪə frɒm]	получать весточку от
grow on	[ɡrəʊ ɒn]	начинать нравиться
ring back	[rɪŋ bæk]	перезвонить
phone back	[fəʊn bæk]	перезвонить
keep away from	[kiːp əˈweɪ frɒm]	держаться подальше
boot up	[buːt ʌp]	загрузить (компьютер)
tidy up	[ˈtaɪdi ʌp]	прибрать
call by	[kɔːl baɪ]	зайти ненадолго
change into	[tʃeɪndʒ ˈɪntə]	переодеться / превратиться
see after	[siː ˈɑːftə]	присматривать за
bear with	[beə wɪð]	потерпеть
subscribe	[səbˈskraɪb]	подписаться
log in	[lɒɡ ɪn]	войти в систему
slow down	[sləʊ daʊn]	замедлиться
be into	[biː ˈɪntə]	увлекаться
wanna	[ˈwɒnə]	хотеть (разг.)
9. Спорт и активный отдых
Слово	Транскрипция	Перевод
table tennis	[ˈteɪbəl ˌtenɪs]	настольный теннис
snowboarding	[ˈsnəʊbɔːdɪŋ]	сноубординг
rollerblading	[ˈrəʊləbleɪdɪŋ]	катание на роликах
10. Медиа, интернет, общение
Слово	Транскрипция	Перевод
email	[ˈiːmeɪl]	электронная почта
webinar	[ˈwebɪnɑː]	вебинар
blogging	[ˈblɒɡɪŋ]	ведение блога
talk show	[ˈtɔːk ʃəʊ]	ток-шоу
mass media	[mæs ˈmiːdiə]	средства массовой информации
bestseller	[ˌbestˈselə]	бестселлер
flashcard	[ˈflæʃkɑːd]	карточка для запоминания
linking words	[ˈlɪŋkɪŋ wɜːdz]	слова-связки
phrasal verb	[ˈfreɪzəl vɜːb]	фразовый глагол
non-native	[nɒn ˈneɪtɪv]	не носитель языка
shopaholic	[ˌʃɒpəˈhɒlɪk]	шопоголик
low-quality	[ləʊ ˈkwɒləti]	низкокачественный
organisation	[ˌɔːɡənaɪˈzeɪʃən]	организация
civilisation	[ˌsɪvəlaɪˈzeɪʃən]	цивилизация
globalisation	[ˌɡləʊbəlaɪˈzeɪʃən]	глобализация
concentration	[ˌkɒnsənˈtreɪʃən]	концентрация
disappointment	[ˌdɪsəˈpɔɪntmənt]	разочарование
unprofessionalism	[ˌʌnprəˈfeʃənəlɪzəm]	непрофессионализм
assistance	[əˈsɪstəns]	помощь
negotiations	[nɪˌɡəʊʃiˈeɪʃənz]	переговоры
real estate	[ˈrɪəl ɪˈsteɪt]	недвижимость
volunteering	[ˌvɒlənˈtɪərɪŋ]	волонтёрство
elections	[ɪˈlekʃənz]	выборы
troops	[truːps]	войска
tears	[tɪəz]	слёзы
muscles	[ˈmʌsəlz]	мышцы
calories	[ˈkæləriz]	калории
drugs	[drʌɡz]	наркотики
fairy tale	[ˈfeəri teɪl]	сказка
masterpiece	[ˈmɑːstəpiːs]	шедевр
reputation	[ˌrepjʊˈteɪʃən]	репутация
shoelaces	[ˈʃuːleɪsɪz]	шнурки
traffic jam	[ˈtræfɪk dʒæm]	пробка
12. Учёба, работа, профессионализм
Слово	Транскрипция	Перевод
schooldays	[ˈskuːldeɪz]	школьные годы
schoolchildren	[ˈskuːltʃɪldrən]	школьники
homework	[ˈhəʊmwɜːk]	домашнее задание
non-traditional	[nɒn trəˈdɪʃənəl]	нетрадиционный
Upper-Intermediate	[ˈʌpər ˌɪntəˈmiːdiət]	выше среднего (уровень)
well-qualified	[wel ˈkwɒlɪfaɪd]	высококвалифицированный
single-room	[ˈsɪŋɡəl ruːm]	одноместная комната
spending	[ˈspendɪŋ]	траты
gardening	[ˈɡɑːdənɪŋ]	садоводство
13. То, что не вошло в группы (но нужно)
Слово	Транскрипция	Перевод
o'clock	[əˈklɒk]	час (ровно)
let's	[lets]	давай
paper	[ˈpeɪpə]	бумага
tape	[teɪp]	лента / скотч / запись
honestly	[ˈɒnɪstli]	честно
scarcely	[ˈskeəsli]	едва ли
bound to	[baʊnd tuː]	обязательно
